sample	DHS_bam	H3K27ac_bam
dorsolateral_prefrontal_cortex_ENCSR001QTZ	ENCFF884NRT	ENCFF071LLG
brain_ENCSR026EOM	ENCFF888DUC	
prostate_gland_ENCSR564FZH	ENCFF084DLF	ENCFF855AUQ
epithelial_cell_of_prostate_ENCSR000EPU	ENCFF924YJB	ENCFF544ZNG
skeletal_muscle_cell_ENCSR000EQA	ENCFF724SPV	
skeletal_muscle_myoblast_ENCSR000EOO	ENCFF701QQE	ENCFF899LQA
suprapubic_skin_ENCSR101QXF	ENCFF134TIX	ENCFF973YUI
suprapubic_skin_ENCSR709IYR	ENCFF378TLV	ENCFF973YUI
pancreas_ENCSR056PFI	ENCFF988IQG	ENCFF553NLN
pancreas_ENCSR178JBL	ENCFF027VJJ	ENCFF553NLN
lung_ENCSR006IJP	ENCFF368MIJ	ENCFF528XHD
lung_ENCSR076YBB	ENCFF120HUO	ENCFF528XHD
lower_leg_skin_ENCSR361DND	ENCFF136ZRE	
lower_leg_skin_ENCSR579KDC	ENCFF449PFL	
GM12878_ENCSR000EMT	ENCFF467CXY	ENCFF645BAL
liver_ENCSR158YXM	ENCFF454GBD	ENCFF661DJP
liver_ENCSR562FNN	ENCFF427KDL	ENCFF661DJP
heart_left_ventricle_ENCSR070CMW	ENCFF533LLW	ENCFF977RSS
heart_left_ventricle_ENCSR222CLC	ENCFF284XQW	ENCFF480VMO
sigmoid_colon_ENCSR276ITP	ENCFF531YYI	ENCFF409VDP
sigmoid_colon_ENCSR391YAV	ENCFF166AYV	ENCFF409VDP
transverse_colon_ENCSR340MRJ	ENCFF650EYC	ENCFF465VLY
transverse_colon_ENCSR760QZM	ENCFF034EJE	ENCFF318BCO
K562_ENCSR000EOT	ENCFF860XAE	ENCFF790GFL